DATE_TIME,DC_POWER,AC_POWER
2022-01-01 00:00:00,0.00,0.00
2022-01-01 00:15:00,0.00,0.00
2022-01-01 00:30:00,0.00,0.00
2022-01-01 00:45:00,0.00,0.00
2022-01-01 01:00:00,0.00,0.00
2022-01-01 01:15:00,0.00,0.00
2022-01-01 01:30:00,0.00,0.00
2022-01-01 01:45:00,0.00,0.00
2022-01-01 02:00:00,0.00,0.00
2022-01-01 02:15:00,0.00,0.00
2022-01-01 02:30:00,0.00,0.00
2022-01-01 02:45:00,0.00,0.00
2022-01-01 03:00:00,0.00,0.00
2022-01-01 03:15:00,0.00,0.00
2022-01-01 03:30:00,0.00,0.00
2022-01-01 03:45:00,0.00,0.00
2022-01-01 04:00:00,0.00,0.00
2022-01-01 04:15:00,0.00,0.00
2022-01-01 04:30:00,0.00,0.00
2022-01-01 04:45:00,0.00,0.00
2022-01-01 05:00:00,0.00,0.00
2022-01-01 05:15:00,0.00,0.00
2022-01-01 05:30:00,0.00,0.00
2022-01-01 05:45:00,0.00,0.00
2022-01-01 06:00:00,0.00,0.00
2022-01-01 06:15:00,0.00,0.00
2022-01-01 06:30:00,13.18,11.52
2022-01-01 06:45:00,39.84,35.57
2022-01-01 07:00:00,31.72,25.26
2022-01-01 07:15:00,16.63,17.09
2022-01-01 07:30:00,31.87,28.02
2022-01-01 07:45:00,51.09,43.02
2022-01-01 08:00:00,42.59,39.65
2022-01-01 08:15:00,45.01,40.90
2022-01-01 08:30:00,69.11,58.13
2022-01-01 08:45:00,67.24,60.92
2022-01-01 09:00:00,61.86,53.05
2022-01-01 09:15:00,82.71,75.93
2022-01-01 09:30:00,73.53,61.91
2022-01-01 09:45:00,78.17,67.61
2022-01-01 10:00:00,98.59,83.59
2022-01-01 10:15:00,100.00,87.70
2022-01-01 10:30:00,93.70,82.60
2022-01-01 10:45:00,75.27,61.94
2022-01-01 11:00:00,95.71,84.74
2022-01-01 11:15:00,97.49,90.55
2022-01-01 11:30:00,100.00,92.59
2022-01-01 11:45:00,100.00,80.66
2022-01-01 12:00:00,94.96,89.98
2022-01-01 12:15:00,96.37,84.03
2022-01-01 12:30:00,100.00,89.00
2022-01-01 12:45:00,99.50,82.75
2022-01-01 13:00:00,100.00,89.25
2022-01-01 13:15:00,86.38,81.78
2022-01-01 13:30:00,95.40,81.40
2022-01-01 13:45:00,76.97,73.71
2022-01-01 14:00:00,100.00,85.40
2022-01-01 14:15:00,74.58,70.66
2022-01-01 14:30:00,69.37,56.07
2022-01-01 14:45:00,70.11,62.87
2022-01-01 15:00:00,56.96,53.13
2022-01-01 15:15:00,66.28,60.49
2022-01-01 15:30:00,53.93,44.81
2022-01-01 15:45:00,43.78,39.53
2022-01-01 16:00:00,62.83,56.96
2022-01-01 16:15:00,56.42,51.59
2022-01-01 16:30:00,56.80,50.51
2022-01-01 16:45:00,27.29,26.32
2022-01-01 17:00:00,22.78,20.80
2022-01-01 17:15:00,16.69,14.55
2022-01-01 17:30:00,8.82,10.10
2022-01-01 17:45:00,0.00,0.00
2022-01-01 18:00:00,0.00,0.00
2022-01-01 18:15:00,0.00,0.00
2022-01-01 18:30:00,0.00,0.00
2022-01-01 18:45:00,0.00,0.00
2022-01-01 19:00:00,0.00,0.00
2022-01-01 19:15:00,0.00,0.00
2022-01-01 19:30:00,0.00,0.00
2022-01-01 19:45:00,0.00,0.00
2022-01-01 20:00:00,0.00,0.00
2022-01-01 20:15:00,0.00,0.00
2022-01-01 20:30:00,0.00,0.00
2022-01-01 20:45:00,0.00,0.00
2022-01-01 21:00:00,0.00,0.00
2022-01-01 21:15:00,0.00,0.00
