timestamp,voltage_V,current_A,temp_C,humidity_pct,light_lux
2026-04-03 01:22,0.872,0.00,33.32,60.34,145.8
2026-04-11 12:27,2.988,0.00,33.44,61.03,190.0
2026-04-11 12:30,8.520,0.20,34.53,57.74,5536.7
2026-04-11 13:00,0.880,0.00,31.74,65.89,56.7
2026-04-11 13:00,0.876,0.00,31.74,66.01,254.2
2026-04-11 13:00,0.876,0.00,31.76,65.99,397.5
2026-04-11 13:01,2.984,0.00,31.78,66.13,379.2
2026-04-25 13:51,1.032,0.00,31.62,66.17,15.8
2026-04-25 13:52,0.872,0.00,31.66,66.09,16.7
2026-04-25 14:00,0.872,0.00,31.68,64.75,1688.3
2026-04-25 14:00,3.236,0.01,31.75,64.44,1680.0
2026-04-25 14:41,0.956,0.00,31.70,64.18,188.3
2026-04-25 15:55,0.876,0.00,31.58,65.22,9.2
2026-04-25 16:01,0.876,0.00,31.57,65.12,5.0
2026-04-25 16:01,0.872,0.00,31.57,65.05,8.3
2026-04-25 16:01,0.876,0.00,31.54,65.18,9.2
2026-04-25 16:02,0.876,0.00,31.38,65.29,9.2
2026-04-25 16:05,0.876,0.00,31.50,65.11,9.2
2026-04-25 16:05,0.872,0.00,31.49,65.20,7.5
2026-04-25 16:32,0.916,0.00,nan,nan,880.8
2026-04-25 16:36,0.880,0.00,32.81,64.23,619.2
