voltage_mean,voltage_std,current_mean,current_std,power_mean,power_std,lux_mean,temperature_mean,humidity_mean,power_rate_of_change,voltage_rate_of_change,efficiency_ratio,fault_class,efficiency_score,maintenance_days
24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.95,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.46,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.675,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.415,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.425,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,23.235,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,21.68,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.335,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.375,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,21.354999999999997,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,20.57,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,21.07,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,21.89,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.33,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.009999999999998,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,21.47,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,21.564999999999998,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.02,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,21.814999999999998,65.0,0.0,0.0,0.0,2,0.0,90
24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.08,65.0,0.0,0.0,0.0,2,0.0,90
