DATE_TIME,IRRADIATION,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE
2022-01-01 00:00:00,0.0000,22.95,29.14
2022-01-01 00:15:00,0.0000,21.85,25.60
2022-01-01 00:30:00,0.0000,23.07,29.89
2022-01-01 00:45:00,0.0000,22.28,30.02
2022-01-01 01:00:00,0.0000,22.55,30.61
2022-01-01 01:15:00,0.0000,22.30,30.26
2022-01-01 01:30:00,0.0000,24.17,30.28
2022-01-01 01:45:00,0.0000,21.63,28.36
2022-01-01 02:00:00,0.0000,21.73,28.29
2022-01-01 02:15:00,0.0000,22.94,27.27
2022-01-01 02:30:00,0.0000,21.81,25.97
2022-01-01 02:45:00,0.0000,20.90,28.22
2022-01-01 03:00:00,0.0000,20.24,24.22
2022-01-01 03:15:00,0.0000,21.90,27.46
2022-01-01 03:30:00,0.0000,21.88,28.47
2022-01-01 03:45:00,0.0000,22.78,29.50
2022-01-01 04:00:00,0.0000,21.24,28.32
2022-01-01 04:15:00,0.0000,21.70,31.20
2022-01-01 04:30:00,0.0000,21.43,26.85
2022-01-01 04:45:00,0.0000,22.61,29.86
2022-01-01 05:00:00,0.0000,21.02,25.55
2022-01-01 05:15:00,0.0000,23.14,26.98
2022-01-01 05:30:00,0.0000,23.02,29.29
2022-01-01 05:45:00,0.0000,22.70,32.18
2022-01-01 06:00:00,0.0000,21.31,29.32
2022-01-01 06:15:00,0.0000,23.62,29.52
2022-01-01 06:30:00,0.1680,25.99,34.11
2022-01-01 06:45:00,0.2283,26.31,38.05
2022-01-01 07:00:00,0.3035,24.52,39.37
2022-01-01 07:15:00,0.1906,25.57,34.22
2022-01-01 07:30:00,0.3263,26.66,39.19
2022-01-01 07:45:00,0.5402,31.72,50.03
2022-01-01 08:00:00,0.4472,31.22,47.35
2022-01-01 08:15:00,0.4714,30.49,48.40
2022-01-01 08:30:00,0.6228,35.51,53.82
2022-01-01 08:45:00,0.6793,35.08,53.39
2022-01-01 09:00:00,0.6810,35.13,52.26
2022-01-01 09:15:00,0.7666,36.79,58.76
2022-01-01 09:30:00,0.7911,36.41,58.00
2022-01-01 09:45:00,0.8007,37.14,57.99
2022-01-01 10:00:00,0.9737,39.12,61.74
2022-01-01 10:15:00,0.9758,39.92,63.83
2022-01-01 10:30:00,0.8935,36.18,58.77
2022-01-01 10:45:00,0.8803,38.47,61.05
2022-01-01 11:00:00,0.9370,38.70,62.69
2022-01-01 11:15:00,1.0000,39.88,66.73
2022-01-01 11:30:00,0.9910,40.53,65.87
2022-01-01 11:45:00,1.0000,42.40,66.15
2022-01-01 12:00:00,1.0000,41.53,65.47
2022-01-01 12:15:00,0.9921,39.55,61.01
2022-01-01 12:30:00,0.9697,39.88,62.63
2022-01-01 12:45:00,1.0000,38.99,63.06
2022-01-01 13:00:00,0.9911,38.92,61.70
2022-01-01 13:15:00,0.8943,39.92,62.13
2022-01-01 13:30:00,0.9739,39.54,62.49
2022-01-01 13:45:00,0.7231,35.39,54.07
2022-01-01 14:00:00,0.9818,40.92,66.97
2022-01-01 14:15:00,0.8117,36.49,57.61
2022-01-01 14:30:00,0.7549,36.01,56.08
2022-01-01 14:45:00,0.7142,34.06,52.14
2022-01-01 15:00:00,0.6779,35.26,54.32
2022-01-01 15:15:00,0.6586,33.15,50.90
